pop_id,spp,gfe_id,sys_nm,geom_mean
48500,CO,454,JOHNSTON CREEK,132.1148091
48966,CO,789,WEST CREEK,53.15293501
49170,CO,553,CANYON CREEK,170.3924816
49290,CO,577,CLIFFORD CREEK,116.989271
49546,CO,899,RAINBOW CREEK,187.9780497
49547,CO,899,RAINBOW CREEK,218.975957
49755,CO,927,ROBERT ARM CREEK,75
49760,CO,928,DRANEY CREEK,27.56814923
49765,CO,929,LOCKHART GORDON CREEK,160.1174153
49770,CO,930,ALLARD CREEK,93.12229991
49775,CO,931,JOHNSTON CREEK,417.2487595
49790,CO,934,NICKNAQUEET RIVER,17.7476833
49880,CO,701,EAGLE CREEK,6.744838932
50226,CO,1023,AALTANHASH RIVER,271.352894
50231,CO,1024,MARMOT COVE CREEK,55.9442414
50236,CO,1025,SCOW BAY CREEK,73.79806093
50241,CO,1026,KLEKANE RIVER,104.031645
50456,CO,935,WANNOCK RIVER,1009.993815
51226,CO,1018,GREEN RIVER,629.8750378
51231,CO,1019,TAYLOR CREEK,25
51236,CO,1020,MARSHALL CREEK,14.85176472
51241,CO,1021,KHUTZE RIVER,576.0131224
51606,CO,936,OWIKENO LAKE,294.2830956
51611,CO,937,AMBACK CREEK,111.9476108
51616,CO,938,DALLERY CREEK,165.0475667
51621,CO,939,ASHLULM CREEK,36.05623926
51626,CO,940,MACHMELL RIVER,200
51631,CO,941,NEECHANZ RIVER,315.2865559
51636,CO,942,GENESEE CREEK,51.38289018
51641,CO,943,SHEEMAHANT RIVER,684.6770885
51646,CO,944,INZIANA RIVER,48.20570514
51651,CO,945,WASHWASH RIVER,123.7717064
51656,CO,946,TZEO RIVER,68.70544052
51661,CO,947,KILBELLA RIVER,665.8227802
51666,CO,948,CHUCKWALLA RIVER,687.1489169
51671,CO,949,CLYAK RIVER,381.6432195
51676,CO,950,YOUNG RIVER,138.5204951
51681,CO,951,NIEL CREEK,90.85602964
51686,CO,952,MILTON RIVER,56.97990626
51691,CO,953,MACNAIR CREEK,64.77181231
51701,CO,955,BEAVER CREEK,236.2163149
51706,CO,956,THIRD CREEK,282.8427125
51711,CO,957,KOEYE RIVER,3221.72259
51721,CO,959,NAMU RIVER,777.9979866
51726,CO,960,NOOTUM RIVER,363.681484
51731,CO,961,QUATLENA RIVER,158.7401052
51736,CO,962,KWATNA RIVER,6083.717
51746,CO,964,ASSEEK RIVER,154.2770337
51751,CO,965,TALEOMEY RIVER,182.8825653
51756,CO,966,NOEICK RIVER,468.9232529
51767,CO,968,BELLA COOLA RIVER,24140.71629
51776,CO,969,SNOOTLI CREEK,82.38997054
51781,CO,970,ATNARKO RIVER,86
51786,CO,971,NECLEETSCONNAY RIVER,540.2986298
51796,CO,973,NOOSESECK RIVER,433.0144273
51806,CO,975,DEAN RIVER,3799.143398
51816,CO,977,KIMSQUIT RIVER,3041.878891
51821,CO,978,SKOWQUILTZ RIVER,223.4444554
51826,CO,979,DEEP BAY CREEK,2
51831,CO,980,STEELHEAD CREEK,8.818667041
51836,CO,981,NASCALL CREEK,26.20741394
51841,CO,7990611,WORAN CREEK,58.30569309
51846,CO,983,CASCADE RIVER,222.8658615
51851,CO,984,ELCHO CREEK,590.1085124
51856,CO,985,FRENCHMAN CREEK,567.4815844
51861,CO,986,MARTIN RIVER,1816.809095
51866,CO,987,GOAT BUSHU CREEK,12.24744871
51876,CO,989,CLATSE CREEK,38.62452422
51881,CO,990,RAINBOW CREEK,2.884499141
51886,CO,991,ROSCOE CREEK,882.3978325
51891,CO,992,LEE CREEK,64.1580914
51896,CO,993,QUARTCHA CREEK,537.7255001
51906,CO,995,BULLOCK CHANNEL CREEKS,2
51911,CO,996,ELLERSLIE LAGOON CREEK,15
51916,CO,997,PINE RIVER,319.4475967
51926,CO,999,NEEKAS CREEK,92.26955946
51931,CO,1000,SPILLER LAGOON CREEK,2
51936,CO,1001,TANKEEAH RIVER,453.2321233
51951,CO,1004,WINDFALL CREEK,3
51956,CO,1005,TOM BAY CREEK,11.44714243
51961,CO,1006,NAMELESS CREEK,67.25327474
51966,CO,1007,SALMON BAY CREEK,22.1571345
51971,CO,1008,HIRD POINT CREEK,3.16227766
51976,CO,1009,LARD CREEK,17.50670293
51981,CO,1010,KAINET CREEK,345.9079467
51986,CO,1011,BIG CREEK,12.88510782
51991,CO,1012,BIG BAY CREEK,12.24744871
51996,CO,1013,KORICH CREEK,32.59844428
52001,CO,1014,POISON COVE CREEK,135.908343
52006,CO,1015,MUSSEL RIVER,321.0303433
52011,CO,1016,BOLIN BAY CREEK,138.7766915
52016,CO,1017,CARTER RIVER,64.94143483
52167,CO,1312,COLD CREEK,13.11095701
52401,CO,1078,BEAVER CREEK,50
52852,CO,1135,DREW CREEK,
3117,PKE,2090,AIRPORT SIDE CHANNEL,447.2135955
3131,PKE,2239,CLAYTON FALLS CREEK,4000
3133,PKE,2242,THORSEN CREEK,1215.030849
3137,PKE,2244,NOOHALK CREEK,34.64101615
3142,PKE,2246,FISH CREEK,215
3162,PKE,3403,SALLOOMT RIVER,3122.498999
3173,PKE,2241,TASTSQUAN CREEK,430.1162634
3228,PKE,2830,KAMIN CREEK,30
3229,PKE,2831,GOIN CREEK,94.02511778
3422,PKE,2689,BULLOCK CHANNEL #2 CREEK,396.071072
3424,PKE,2690,BULLOCK CHANNEL #3 NORTH CREEK,66.94329501
3426,PKE,2691,BULLOCK CHANNEL #3 SOUTH CREEK,58.28476683
3449,PKE,3555,JENNY BAY EAST CREEK,31.06154397
3451,PKE,2693,JENNY BAY SOUTH CREEK,90.40499161
3453,PKE,2692,JENNY BAY WEST CREEK,146.5370924
39764,PKE,1436,HEAD CREEK,75
42702,PKE,1821,GULL CREEK,301.8938107
42707,PKE,1822,OSMENT CREEK,92.07216809
42712,PKE,1823,KWAKWA CREEK,227.2887998
42717,PKE,1824,MEYERS PASS CREEK,38.12887913
42722,PKE,1825,GORILLA CREEK,110.4399884
42737,PKE,1828,CALDER CREEK,80
42742,PKE,1829,LAGOON CREEK,166.7824966
42747,PKE,1830,MARY COVE CREEK,76.51829439
42752,PKE,1831,WATSON BAY CREEK,854.7581872
42757,PKE,1832,BOTTLENECK CREEK,562.5685326
42762,PKE,1833,JAMES BAY CREEK,9526.524463
42767,PKE,1834,CANYON CREEK,681.1031983
42772,PKE,1835,GEISH CREEK,80.54904263
42777,PKE,1836,DUTHIE CREEK,4153.080649
42782,PKE,1837,WINDY BAY CREEK,488.384689
42787,PKE,1838,CANOONA RIVER,1835.065471
42792,PKE,1839,SODA CREEK,5269.611239
42827,PKE,1588,LAGOON CREEK,89.74444661
42862,PKE,1595,THORSEN CREEK,127.6101735
43242,PKE,1809,MCLOUGHLIN CREEK,528.8511641
43247,PKE,1810,SHIP POINT CREEK,35.25468767
43257,PKE,1812,SOUND POINT LAGOON CREEK,3
43262,PKE,1813,KWAKUSDIS RIVER,4425.475669
43272,PKE,1840,LITTLE CREEK,409.1970293
43287,PKE,1709,WINDY BAY CREEK,19610.71844
43647,PKE,1782,OATSOALIS CREEK,443.5026855
43657,PKE,1784,DE COSMOS LAGOON CREEK,49.03550052
43662,PKE,1785,CRAB HARBOUR CREEK,100.7879704
43667,PKE,1786,WATT CREEK,324.0370349
43682,PKE,1789,STEWART CREEK,387.2983346
43697,PKE,1792,GRASSY BAY CREEK,13
43702,PKE,1793,KISAMEET RIVER,919.7642163
43707,PKE,1794,SAGAR CREEK,
43717,PKE,1796,HOOK NOSE CREEK,1955.662556
43722,PKE,1797,FOUR LAKES CREEK,109.4287381
43732,PKE,1799,GREEN RIVER,265.7083443
43737,PKE,1800,KADJUSDIS RIVER,2827.786048
43742,PKE,1801,KUNSOOT RIVER,6264.552565
43747,PKE,1802,DREW CREEK,10
43757,PKE,1804,SALLY CREEK,164.3230278
43762,PKE,1805,LILIAN CREEK,16
43767,PKE,1806,DEER PASS LAGOON CREEKS,75.63364672
43772,PKE,1807,WEBSTER LAKE CREEK,204.5589334
43777,PKE,1808,KWAKIUTL CREEK,25
43782,PKE,1815,ROBINSON CREEKS,76.07178901
43787,PKE,1816,BULLEY BAY CREEK,95.68978038
43792,PKE,1817,PRICE CREEK,278.4753017
43802,PKE,1841,QUIGLEY CREEK,433.8921403
43807,PKE,1842,POWLES CREEK,445.121304
43812,PKE,1843,BLEE CREEK,564.1058289
43817,PKE,1844,BLOOMFIELD CREEK,746.3274917
43822,PKE,1845,FIFER COVE CREEK,537.1250499
43827,PKE,1846,DALLY CREEK,176.9040808
